NLA,SUP6,Draw ,Draw#
"1 2 3 4 5 BB: 6 Letter: A","11 12 13 14 15 16 BB: 17 Letter: K",100,200
"2 3 4 5 6 BB: 7 Letter: B","12 13 14 15 16 17 BB: 18 Letter: L",101,201
"3 4 5 6 7 BB: 8 Letter: C","13 14 15 16 17 18 BB: 19 Letter: M",102,202
"4 5 6 7 8 BB: 9 Letter: D","14 15 16 17 18 19 BB: 20 Letter: N",103,203
"5 6 7 8 9 BB: 10 Letter: E","15 16 17 18 19 20 BB: 21 Letter: O",104,204
"6 7 8 9 10 BB: 11 Letter: F","16 17 18 19 20 21 BB: 22 Letter: P",105,205
"7 8 9 10 11 BB: 12 Letter: G","17 18 19 20 21 22 BB: 23 Letter: Q",106,206
"8 9 10 11 12 BB: 13 Letter: H","18 19 20 21 22 23 BB: 24 Letter: R",107,207
"9 10 11 12 13 BB: 14 Letter: I","19 20 21 22 23 24 BB: 25 Letter: S",108,208
"10 11 12 13 14 BB: 15 Letter: J","02 12 14 15 16 18 J",,2551
